sample,river,zone,site,habitat,Lat,Lon,oxygen,oxygen_sat,temperature,chloride,doc,ammonium,nitrate,phosphate,tn,tp,don,np,benthic_type,afdm,chl
49,Boulder,OC,UP,OS,46.1583,-112.0012,5.26,71.5,22,3.046,6.035,11.8,2.7,61.7,297.6,22.7,283.2,0.5,,,
50,Boulder,MC,UP,SL,46.1648,-112.0116,6.03,80.4,20.8,3.846,2.282,5.1,5.3,43.7,147.4,10.9,137,0.5,Epilithon,0.38,14.54
52,Boulder,OC,UP,BK,46.157,-111.9972,5.53,75.8,22.3,2.985,3.056,18.6,2,50.7,182.9,17.6,162.3,0.9,FBOM,19.133,35.7
54,Boulder,MC,UP,CZ,46.1674,-112.0153,5.73,76.6,21,3.415,3.227,26.6,5.7,49.3,142.9,11,110.6,1.4,Epilithon,0.149,1.2
56,Boulder,OC,UP,PS,46.1563,-111.9952,2.44,28.1,14,1.997,3.345,32.2,21.3,94.7,200.9,63.3,147.4,1.3,Epilithon,0.953,4.97
58,Boulder,OC,UP,OS,46.1597,-112.0055,1.68,21.2,18,2.208,3.602,37.6,5,44.3,206.4,55.5,163.8,2.1,FBOM,1.602,17.19
60,Boulder,OC,UP,PN,46.1623,-112.0066,6.92,90,19.6,3.19,3.641,5.1,1.3,80.3,225.3,29.2,218.8,0.2,FBOM,17.537,91.29
61,Boulder,MC,MD,SR,46.1413,-111.9835,6.38,76,16,3.299,3.062,1.8,8.7,46.7,162.9,16.4,152.4,0.5,Epilithon,0.497,3.26
62,Boulder,MC,MD,RN,46.1415,-111.9835,6.45,78.8,17,3.591,2.973,6.1,2.3,49,145.1,10.2,136.7,0.4,Epilithon,1.629,9.39
63,Boulder,MC,MD,PO,46.1418,-111.9838,6.48,79.9,17.4,3.604,3.158,4.6,2,49.3,145.6,13,139,0.3,,,
64,Boulder,MC,MD,SL,46.1436,-111.9857,6.51,84.9,20.2,4.027,2.925,7.6,11,49,180.8,14.8,162.2,0.8,Epilithon,1.131,21.19
66,Boulder,OC,MD,BK,46.1419,-111.9838,3.83,47.4,17.6,3.584,2.544,4.7,7,54,135.4,16.1,123.7,0.5,FBOM,3.953,58.38
68,Boulder,MC,MD,CZ,46.1435,-111.9858,6.52,84.5,19.8,4.36,2.926,4,9.3,48.3,238,18.3,224.7,0.6,Epilithon,0.546,22.12
70,Boulder,OC,MD,PS,46.1474,-111.9929,,,,3.563,1.231,3.8,38,50.3,114,11.1,72.2,1.8,FBOM,35.525,779.17
72,Boulder,OC,MD,OS,46.1437,-111.9865,6.5,82.5,18.8,3.601,1.701,27.5,19,60.3,89.8,15.9,43.3,1.7,FBOM,3.33,11.16
74,Boulder,OC,MD,PN,46.1451,-111.9867,4.62,71.2,29.1,2.667,4.135,1.8,1.7,54.7,197.7,18.7,194.3,0.1,FBOM,19.488,42.19
75,Boulder,MC,DW,SR,46.1314,-111.9446,4.96,60.7,17.4,4.475,3.012,6.4,3.3,48.3,188.4,12.1,178.7,0.4,Epilithon,0.078,0.91
76,Boulder,MC,DW,RN,46.1321,-111.9601,5.67,71,18.4,4.408,3.164,1.5,1,50.7,147.6,19.4,145.1,0.1,Epilithon,0.321,7.66
77,Boulder,MC,DW,PO,46.1323,-111.9551,4.89,60.2,17.6,4.632,2.915,1.5,8,47,161.6,17.3,152.1,0.4,,,
78,Boulder,OC,DW,FC,46.1322,-111.9556,5.2,64.4,17.8,3.495,3.016,1.5,15.3,47,153.3,11.6,136.5,0.8,Epilithon,0.077,1.31
79,Boulder,MC,DW,SL,46.1322,-111.9604,5.33,68.4,19.5,3.907,3.269,1.5,4,49.7,143,15,137.5,0.2,Epilithon,0.63,16.02
81,Boulder,OC,DW,BK,46.1301,-111.9511,3.91,48.3,17.8,3.042,3.876,1.5,1.3,69.7,137.4,34.4,134.6,0.1,FBOM,18.928,50.88
83,Boulder,MC,DW,CZ,46.1392,-111.9713,4.65,62.8,21.9,4.256,2.614,1.5,4,47,154,12,148.5,0.3,Epilithon,1.889,15.21
85,Boulder,OC,DW,PS,46.1336,-111.9615,11.06,161.2,26.1,2.797,3.975,2.7,2.3,61,208.9,91.8,203.9,0.2,FBOM,101.184,190.44
87,Boulder,OC,DW,OS,46.1403,-111.9791,6.69,92.2,22.9,5.612,1.47,3.3,14,65,121.2,45.5,103.9,0.6,FBOM,8.568,46.88
89,Boulder,OC,DW,PN,46.1355,-111.9659,3.62,47.8,20.8,3.634,3.791,5.4,2,55.7,243.5,37.5,236.1,0.3,Epilithon,0.297,2.36
90,Madison,MC,UP,SR,45.7282,-111.5192,9.88,107.1,19.2,15.426,2.564,1.5,1.3,62.3,191.1,19,188.3,0.1,Epilithon,6.235,45.74
91,Madison,MC,UP,RN,45.7257,-111.5212,9.44,101,18.6,16.229,2.358,9.4,4.7,63.7,167,36.2,153,0.5,Epilithon,0.761,13.95
92,Madison,OC,UP,FC,45.7277,-111.5182,10.29,115.5,21,15.489,2.263,17.6,5.7,66.7,189,13.2,165.8,0.8,Epilithon,1.734,54.61
93,Madison,MC,UP,SL,45.7284,-111.5191,9.34,107.7,22.4,15.643,2.371,3.6,3,67,180.4,17.7,173.8,0.2,Epilithon,0.894,29.97
